col1,col2,col3,col4,col5,col6,col7,query_fna,subject_fna,query_length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
58,1001722,4S-0303,1001722.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/125/GCF_000271125.1_ASM27112v1,8,1001722.3.fna,GCF_000271125.1_ASM27112v1_genomic.fna, 4864284, 4864284,1001722.3.fna_vs_GCF_000271125.1_ASM27112v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4864284,0,0,0,0,0,0,1001722_subject_array_1739773843.bin
73,1001737,6G-0728-R,1001737.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/605/GCF_000270605.1_ASM27060v1,8,1001737.3.fna,GCF_000270605.1_ASM27060v1_genomic.fna, 5341825, 5341825,1001737.3.fna_vs_GCF_000270605.1_ASM27060v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5341825,0,0,0,0,0,0,1001737_subject_array_1739773845.bin
77,1001741,6G-0125-S,1001741.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/865/GCF_000270865.1_ASM27086v1,8,1001741.3.fna,GCF_000270865.1_ASM27086v1_genomic.fna, 5328817, 5328817,1001741.3.fna_vs_GCF_000270865.1_ASM27086v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5328817,0,0,0,0,0,0,1001741_subject_array_1739773847.bin
849,1027620,LS1,1027620.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/865/225/GCF_003865225.1_ASM386522v1,8,1027620.3.fna,GCF_003865225.1_ASM386522v1_genomic.fna, 4536969, 4536969,1027620.3.fna_vs_GCF_003865225.1_ASM386522v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,195,4536774,0,0,0,0,0,0,1027620_subject_array_1739773848.bin
1027,1034943,LegA,1034943.4,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/815/GCF_000756815.1_PRJEB6598_assembly_1,8,1034943.4.fna,GCF_000756815.1_PRJEB6598_assembly_1_genomic.fna, 4387007, 4387007,1034943.4.fna_vs_GCF_000756815.1_PRJEB6598_assembly_1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4387007,0,0,0,0,0,0,1034943_subject_array_1739773852.bin
2009,1063,MBTLJ-8,1063.9,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/576/595/GCF_001576595.1_ASM157659v1,8,1063.9.fna,GCF_001576595.1_ASM157659v1_genomic.fna, 4666565, 4666565,1063.9.fna_vs_GCF_001576595.1_ASM157659v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4666565,0,0,0,0,0,0,1063_subject_array_1739773853.bin
2460,1069625,England14-9,1069625.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/252/225/GCF_000252225.1_ASM25222v2,8,1069625.3.fna,GCF_000252225.1_ASM25222v2_genomic.fna, 2087621, 2087621,1069625.3.fna_vs_GCF_000252225.1_ASM25222v2_genomic.fna_blast.xml,0,0,0,0,0,0,3,0,2087610,0,3,5,0,0,0,1069625_subject_array_1739773855.bin
2461,1069626,GA02506,1069626.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/252/205/GCF_000252205.1_ASM25220v2,8,1069626.3.fna,GCF_000252205.1_ASM25220v2_genomic.fna, 2049637, 2049637,1069626.3.fna_vs_GCF_000252205.1_ASM25220v2_genomic.fna_blast.xml,0,0,0,0,0,0,1,0,2049635,0,0,1,0,0,0,1069626_subject_array_1739773856.bin
2465,1069813,KCTC 12718,1069813.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/608/225/GCF_021608225.1_ASM2160822v1,8,1069813.3.fna,GCF_021608225.1_ASM2160822v1_genomic.fna, 3496200, 3496200,1069813.3.fna_vs_GCF_021608225.1_ASM2160822v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,3496200,0,0,0,0,0,0,1069813_subject_array_1739773857.bin
2498,1071679,Lep1A1,1071679.9,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/879/615/GCF_022879615.1_ASM2287961v1,8,1071679.9.fna,GCF_022879615.1_ASM2287961v1_genomic.fna, 6650744, 6650744,1071679.9.fna_vs_GCF_022879615.1_ASM2287961v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,6650743,0,1,0,0,0,0,1071679_subject_array_1739773859.bin
2776,1074488,M-6-3,1074488.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/825/GCF_000225825.1_ASM22582v2,8,1074488.3.fna,GCF_000225825.1_ASM22582v2_genomic.fna, 3191479, 3191479,1074488.3.fna_vs_GCF_000225825.1_ASM22582v2_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,3191478,0,0,1,0,0,0,1074488_subject_array_1739773860.bin
4114,110321,ml60,110321.328,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/628/625/GCF_034628625.1_ASM3462862v1,8,110321.328.fna,GCF_034628625.1_ASM3462862v1_genomic.fna, 7768883, 7768883,110321.328.fna_vs_GCF_034628625.1_ASM3462862v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,7768883,0,0,0,0,0,0,110321_subject_array_1739773863.bin
4121,1104446,IST7,1104446.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/606/285/GCF_003606285.1_ASM360628v1,8,1104446.3.fna,GCF_003606285.1_ASM360628v1_genomic.fna, 1283624, 1283624,1104446.3.fna_vs_GCF_003606285.1_ASM360628v1_genomic.fna_blast.xml,0,0,0,1,0,0,0,0,1283619,0,1,3,0,0,0,1104446_subject_array_1739773864.bin
4151,1105115,GA54354,1105115.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/279/715/GCF_000279715.1_ASM27971v1,8,1105115.3.fna,GCF_000279715.1_ASM27971v1_genomic.fna, 2100907, 2100907,1105115.3.fna_vs_GCF_000279715.1_ASM27971v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2100907,0,0,0,0,0,0,1105115_subject_array_1739773865.bin
4220,110845,DSM 17030,110845.4,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/873/645/GCF_017873645.1_ASM1787364v1,8,110845.4.fna,GCF_017873645.1_ASM1787364v1_genomic.fna, 1552960, 1552960,110845.4.fna_vs_GCF_017873645.1_ASM1787364v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1552960,0,0,0,0,0,0,110845_subject_array_1739773866.bin
4300,1111106,FA202,1111106.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/380/205/GCF_000380205.1_ASM38020v1,8,1111106.3.fna,GCF_000380205.1_ASM38020v1_genomic.fna, 5354052, 5354552,1111106.3.fna_vs_GCF_000380205.1_ASM38020v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,474,5354065,0,0,1,12,0,0,1111106_subject_array_1739773867.bin
4779,111769,A1,111769.7,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/175/GCF_017901175.1_ASM1790117v1,8,111769.7.fna,GCF_017901175.1_ASM1790117v1_genomic.fna, 3724392, 3724392,111769.7.fna_vs_GCF_017901175.1_ASM1790117v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,3724391,0,0,1,0,0,0,111769_subject_array_1739773869.bin
4780,111770,ATCC 49748,111770.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/349/355/GCF_017349355.1_ASM1734935v1,8,111770.3.fna,GCF_017349355.1_ASM1734935v1_genomic.fna, 4355037, 4355037,111770.3.fna_vs_GCF_017349355.1_ASM1734935v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4355037,0,0,0,0,0,0,111770_subject_array_1739773871.bin
5014,1121268,DSM 6644,1121268.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/376/325/GCF_000376325.1_ASM37632v1,8,1121268.3.fna,GCF_000376325.1_ASM37632v1_genomic.fna, 1954904, 1954904,1121268.3.fna_vs_GCF_000376325.1_ASM37632v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1954904,0,0,0,0,0,0,1121268_subject_array_1739773872.bin
5095,1121370,DSM 45146,1121370.3,8,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/372/445/GCF_000372445.1_ASM37244v1,8,1121370.3.fna,GCF_000372445.1_ASM37244v1_genomic.fna, 2300451, 2300451,1121370.3.fna_vs_GCF_000372445.1_ASM37244v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2300451,0,0,0,0,0,0,1121370_subject_array_1739773873.bin
