col1,col2,col3,col4,col5,col6,col7,query_fna,subject_fna,query_length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
28,1001583,KB290,1001583.3,10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/625/GCF_000359625.1_ASM35962v1,10,1001583.3.fna,GCF_000359625.1_ASM35962v1_genomic.fna, 2587877, 2587877,1001583.3.fna_vs_GCF_000359625.1_ASM35962v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2587877,0,0,0,0,0,0,1001583_subject_array_1739892017.bin
89,1002227,VKM B-2663,1002227.6,10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/523/625/GCF_020523625.1_ASM2052362v1,10,1002227.6.fna,GCF_020523625.1_ASM2052362v1_genomic.fna, 2924133, 2924133,1002227.6.fna_vs_GCF_020523625.1_ASM2052362v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,712,2923421,0,0,0,0,0,0,1002227_subject_array_1739892018.bin
772,1017270,NIO-1003,1017270.12,10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/094/955/GCF_900094955.1_IMG-taxon_2616645019_annotated_assembly,10,1017270.12.fna,GCF_900094955.1_IMG-taxon_2616645019_annotated_assembly_genomic.fna, 4500901, 4500901,1017270.12.fna_vs_GCF_900094955.1_IMG-taxon_2616645019_annotated_assembly_genomic.fna_blast.xml,0,0,0,0,0,0,2,364,4500491,0,2,42,0,0,0,1017270_subject_array_1739892020.bin
1021,1034769,HW567,1034769.3,10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/374/185/GCF_000374185.1_ASM37418v1,10,1034769.3.fna,GCF_000374185.1_ASM37418v1_genomic.fna, 6835319, 6836219,1034769.3.fna_vs_GCF_000374185.1_ASM37418v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,886,6835319,0,0,0,14,0,0,1034769_subject_array_1739892023.bin
1052,1036177,NC8,1036177.3,10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/735/GCF_000247735.1_ASM24773v2,10,1036177.3.fna,GCF_000247735.1_ASM24773v2_genomic.fna, 3207224, 3207224,1036177.3.fna_vs_GCF_000247735.1_ASM24773v2_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,3207223,0,0,1,0,0,0,1036177_subject_array_1739892024.bin
1076,103729,DSM 44256,103729.3,10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/945/GCF_024171945.1_ASM2417194v1,10,103729.3.fna,GCF_024171945.1_ASM2417194v1_genomic.fna, 7638937, 7638937,103729.3.fna_vs_GCF_024171945.1_ASM2417194v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,7638937,0,0,0,0,0,0,103729_subject_array_1739892027.bin
1508,104662,DSM 13484,104662.3,10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/830/125/GCF_007830125.1_ASM783012v1,10,104662.3.fna,GCF_007830125.1_ASM783012v1_genomic.fna, 7000708, 7000708,104662.3.fna_vs_GCF_007830125.1_ASM783012v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,6347,6994361,0,0,0,0,0,0,104662_subject_array_1739892029.bin
1537,1048394,DSM 25625,1048394.3,10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/797/855/GCF_002797855.1_ASM279785v1,10,1048394.3.fna,GCF_002797855.1_ASM279785v1_genomic.fna, 3882495, 3882495,1048394.3.fna_vs_GCF_002797855.1_ASM279785v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,3882495,0,0,0,0,0,0,1048394_subject_array_1739892031.bin
1709,105219,Patient MN16,105219.69,10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/550/865/GCF_030550865.1_ASM3055086v1,10,105219.69.fna,GCF_030550865.1_ASM3055086v1_genomic.fna, 5338286, 5338286,105219.69.fna_vs_GCF_030550865.1_ASM3055086v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5338283,0,0,0,3,0,0,105219_subject_array_1739892033.bin
1971,105841,DFI.1.3,105841.109,10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/564/175/GCF_020564175.1_ASM2056417v1,10,105841.109.fna,GCF_020564175.1_ASM2056417v1_genomic.fna, 3210774, 3210774,105841.109.fna_vs_GCF_020564175.1_ASM2056417v1_genomic.fna_blast.xml,0,0,0,0,0,0,1,0,3210771,0,0,2,0,0,0,105841_subject_array_1739892034.bin
