col1,col2,col3,col4,col5,col6,col7,query_fna,subject_fna,query_length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
42,1001707,1S-154-0310,1001707.3,5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/308/015/GCF_000308015.1_ASM30801v1,5,1001707.3.fna,GCF_000308015.1_ASM30801v1_genomic.fna,4895947,4895947,1001707.3.fna_vs_GCF_000308015.1_ASM30801v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4895947,0,0,0,0,0,0,1001707_subject_array_1739486248.bin
70,1001734,5S-1215,1001734.3,5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/045/GCF_000271045.1_ASM27104v1,5,1001734.3.fna,GCF_000271045.1_ASM27104v1_genomic.fna,5206300,5206300,1001734.3.fna_vs_GCF_000271045.1_ASM27104v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5206300,0,0,0,0,0,0,1001734_subject_array_1739486253.bin
76,1001740,6G-0125-R,1001740.3,5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/985/GCF_000270985.1_ASM27098v1,5,1001740.3.fna,GCF_000270985.1_ASM27098v1_genomic.fna,5139423,5139423,1001740.3.fna_vs_GCF_000270985.1_ASM27098v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5139423,0,0,0,0,0,0,1001740_subject_array_1739486257.bin
133,1004153,AA86,1004153.3,5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/211/395/GCF_000211395.1_ASM21139v1,5,1004153.3.fna,GCF_000211395.1_ASM21139v1_genomic.fna,4983288,4983288,1004153.3.fna_vs_GCF_000211395.1_ASM21139v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4983288,0,0,0,0,0,0,1004153_subject_array_1739486261.bin
455,1015,NCTC11661,1015.4,5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/445/675/GCF_900445675.1_57530_G01,5,1015.4.fna,GCF_900445675.1_57530_G01_genomic.fna,2505532,2505532,1015.4.fna_vs_GCF_900445675.1_57530_G01_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2505532,0,0,0,0,0,0,1015_subject_array_1739486263.bin
530,101571,MSMB1157,101571.255,5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/546/975/GCF_001546975.1_ASM154697v1,5,101571.255.fna,GCF_001546975.1_ASM154697v1_genomic.fna,8000752,8000752,101571.255.fna_vs_GCF_001546975.1_ASM154697v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,8000752,0,0,0,0,0,0,101571_subject_array_1739486272.bin
847,1027396,Scott A,1027396.3,5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/455/GCF_000212455.1_ASM21245v1,5,1027396.3.fna,GCF_000212455.1_ASM21245v1_genomic.fna,3021322,3021822,1027396.3.fna_vs_GCF_000212455.1_ASM21245v1_genomic.fna_blast.xml,0,0,1,0,0,0,0,443,3021334,0,0,7,37,0,0,1027396_subject_array_1739486274.bin
1019,1034471,DSM 22670,1034471.3,5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/632/755/GCF_002632755.1_ASM263275v1,5,1034471.3.fna,GCF_002632755.1_ASM263275v1_genomic.fna,3859546,3859546,1034471.3.fna_vs_GCF_002632755.1_ASM263275v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,190,3859353,0,0,0,3,0,0,1034471_subject_array_1739486277.bin
1071,103725,DSM 43851,103725.4,5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/203/355/GCF_014203355.1_ASM1420335v1,5,103725.4.fna,GCF_014203355.1_ASM1420335v1_genomic.fna,10435448,10435448,103725.4.fna_vs_GCF_014203355.1_ASM1420335v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,10435448,0,0,0,0,0,0,103725_subject_array_1739486287.bin
1229,103816,P23,103816.73,5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/802/115/GCF_026802115.1_ASM2680211v1,5,103816.73.fna,GCF_026802115.1_ASM2680211v1_genomic.fna,6368518,6368518,103816.73.fna_vs_GCF_026802115.1_ASM2680211v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,6368518,0,0,0,0,0,0,103816_subject_array_1739486292.bin
